symbol	m1_delta	m2_delta	m1_mono	m2_mono	m1_npas	m2_npas	m1_wdi_Spermatocyte	m2_wdi_Spermatocyte	m1_wdi_RoundSpermatid	m2_wdi_RoundSpermatid	m1_wdi_Elongating	m2_wdi_Elongating	mean_delta
Idi1	-0.4316330469051536	-0.4243768830457409	True	False	2	2	0.6939281288723668	0.6910435497124076	0.298235294117647	0.2640664961636829	0.2622950819672131	0.2666666666666666	-0.4280049649754472
Ak2	-0.3847164472164472	-0.4472458773318372	True	True	2	2	0.5528846153846154	0.5871060171919771	0.3602599814298978	0.3940959409594096	0.1681681681681681	0.1398601398601398	-0.4159811622741422
Selenot	-0.323990116266243	-0.49724549887076	False	True	2	2	0.6228406909788867	0.6836861768368617	0.2660869565217391	0.2674259681093394	0.2988505747126437	0.1864406779661017	-0.4106178075685015
Dnajc7	-0.3410642501873679	-0.4721584010460445	True	True	6	6	0.9718334809565988	0.9813953488372092	0.9578304048892284	0.9501250446588068	0.6307692307692309	0.5092369477911647	-0.4066113256167062
Elfn2	-0.3497052251224266	-0.4589689906591314	True	True	3	3	0.5021442495126706	0.5223492723492723	0.3834586466165413	0.3118279569892473	0.1524390243902439	0.0633802816901408	-0.404337107890779
Ap2b1	-0.360706140220965	-0.4474626839781785	True	True	2	2	0.390894819466248	0.466786355475763	0.115530303030303	0.1198019801980198	0.030188679245283	0.0193236714975845	-0.4040844120995718
Tmbim6	-0.4267254698165679	-0.3807457928084264	True	True	2	2	0.9318801089918256	0.9441260744985672	0.719626168224299	0.7957259585166562	0.5051546391752577	0.5633802816901409	-0.4037356313124972
Mief1	-0.3919342359767892	-0.4120359209257473	True	True	3	3	0.8882978723404256	0.8954918032786885	0.5688405797101449	0.6197916666666666	0.4963636363636363	0.4834558823529412	-0.4019850784512683
Sox6	-0.3333333333333333	-0.468503937007874	True	True	2	3	0.3333333333333333	0.468503937007874	0.0195729537366548	0.0193868349864743	0.0	0.0	-0.4009186351706036
Ppp1r15b	-0.4107142857142857	-0.3893617021276596	True	True	2	2	0.4523809523809524	0.4	0.064516129032258	0.0738786279683377	0.0416666666666666	0.0106382978723404	-0.4000379939209726
Otud6b	-0.2667374107659657	-0.5277382645803699	True	True	3	2	0.2808219178082192	0.5540540540540541	0.0706967213114754	0.1041009463722397	0.0140845070422535	0.0263157894736842	-0.3972378376731678
Dusp18	-0.4106594899139796	-0.3735617236895206	True	True	3	3	0.441747572815534	0.435630689206762	0.1802030456852792	0.1815610859728506	0.0310880829015544	0.0620689655172413	-0.3921106068017501
Ccdc158	-0.3611555200284218	-0.4221356702369361	True	True	3	3	0.7068345323741008	0.7067510548523207	0.575	0.603578154425612	0.345679012345679	0.2846153846153846	-0.3916455951326789
Cgrrf1	-0.4105091274493384	-0.3718914448600453	True	True	3	3	0.8497948417350527	0.8626748549982941	0.8304111245465539	0.821348673697667	0.4392857142857143	0.4907834101382488	-0.3912002861546918
Izumo2	-0.3281302876480541	-0.4522795621316011	True	False	4	4	0.5416666666666666	0.7254901960784313	0.2304302747537584	0.2709063595393089	0.2135363790186125	0.2732106339468302	-0.3902049248898276
Abhd2	-0.4286356658862202	-0.3471621674262787	True	True	2	2	0.4380165289256198	0.3488372093023256	0.0179514255543822	0.0194085027726432	0.0093808630393996	0.0016750418760469	-0.3878989166562494
Pcf11	-0.3290777019590579	-0.4453316299371872	False	True	2	2	0.5108958837772397	0.5313531353135313	0.1631736526946108	0.192168237853517	0.1818181818181818	0.086021505376344	-0.3872046659481225
Cep85l	-0.4571428571428571	-0.3125	True	True	2	2	0.4571428571428571	0.3125	0.0372549019607843	0.021639344262295	0.0	0.0	-0.3848214285714285
Cspp1	-0.4020497390813784	-0.3614086335605323	True	True	2	2	0.5481171548117155	0.4767932489451477	0.3189655172413793	0.3040935672514619	0.146067415730337	0.1153846153846153	-0.3817291863209553
Agbl5	-0.295386692829488	-0.4632820577085748	True	True	4	4	0.8392463419522951	0.8163894023413432	0.8045088566827697	0.7966042966042967	0.543859649122807	0.3531073446327683	-0.3793343752690314
